№,Name,URL,Category,Address,Description,Phone,Working Hours,Amenities,Social Media,Prices,Extras
11,Futbol meýdançasy (Aşgabadyň ýalkymy),https://yakyn.biz/b/futbol-meydancasy-asgabadyn-yalkymy-5287,Futbol meýdançasy we toparlary,"Görogly köçesi (Perwyý maý), Aşgabadyň ýalkymy SM-niň arka tarapynda, Aşgabat","Rahat dynç almak we top oýnamak üçin ähli şertler.",+99361 303070,Duş-Ýek 08:00-23:00,"Awtoduralga; Oturyljak ýerler; Futbol geýimleri we top; Eşik çalşyrylýan otag (duş); Töwereginde market",TikTok: @zemin_fk,160 manat/sag,360° virtual tour
12,Futbol meýdançasy (Gagarin),https://yakyn.biz/b/futbol-meydancasy-gagarin-5290,Futbol meýdançasy we toparlary,"A.Amanow köçesi (Gagarin), Täjir markediň golaýy, Aşgabat","Meýdança ölçegi 200 m.",+99364 063213 / +99371 404404,Duş-Ýek 08:00-23:00,"Töwereginde market; Futbol geýimleri (nakidka) we top; Bar",,,360° virtual tour
13,Futbol meýdançasy (Mir 7),https://yakyn.biz/b/futbol-meydancasy-mir-7-5291,Futbol meýdançasy we toparlary,"Parahat 7/4 (Mir7), 171-nji çagalar bagynyň gapdaly, Aşgabat",Sport meýdança.,+99362 723222 / +99362 883222,—,—,Instagram: kumush_ganat,1 sag: 200 m; 2 sag: 300 m,360° virtual tour
14,Futbol meýdançasy (Hezzet market),https://yakyn.biz/b/futbol-meydancasy-hezzet-market-5301,Futbol meýdançasy we toparlary,"9-njy mkr, Hezzet markediň gapdaly, Aşgabat",Sport meýdança.,+99361 760050,—,"Awtoduralga; Futbol geýimleri (nakidka) we top; Eşik çalşyrylýan otag (duş); Töwereginde market",,Ölçegi takm. 260 m,360° virtual tour
15,Futbol meýdançasy (14-nji tapgyr) — 5303,https://yakyn.biz/b/futbol-meydancasy-14-nji-tapgyr-5303,Futbol meýdançasy we toparlary,"14-nji tapgyr, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
16,Futbol meýdançasy (Mir 8),https://yakyn.biz/b/futbol-meydancasy-mir-8-5304,Futbol meýdançasy we toparlary,"Parahat 8 (Mir 8), Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
17,Zemin futbol kluby,https://yakyn.biz/b/zemin-futbol-kluby-5305,Futbol meýdançasy we toparlary,"Görogly köçesi (Perwyý maý), Aşgabadyň ýalkymy SM-niň arka tarapynda, Aşgabat",Futbol meýdançasy we toparlary.,+99361 303070,—,"Awtoduralga; Futbol geýimleri (nakidka) we top; Eşik çalşyrylýan otag (duş)",Instagram: zemin_fk; TikTok: zeminfc,,
18,Futbol meýdançasy (1-nji park),https://yakyn.biz/b/futbol-meydancasy-1-nji-park-5307,Futbol meýdançasy we toparlary,"Azady köçesi, Aşgabat seýilgähiniň içi (1-nji park), Aşgabat",Sport meýdança.,+99364 647476,—,—,,,
19,Futbol meýdançasy (14-nji tapgyr) — 5310,https://yakyn.biz/b/futbol-meydancasy-14-nji-tapgyr-5310,Futbol meýdançasy we toparlary,"G.Ezizow köçesi (Sowhoznyý), 14-nji tapgyr, ""Älem"" jaýy, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
20,Futbol meýdançasy (16-njy tapgyr) — 5311,https://yakyn.biz/b/futbol-meydancasy-16-njy-tapgyr-5311,Futbol meýdançasy we toparlary,"Magtymguly şaýoly (Swaboda), 16-njy tapgyr, Berzeňňi jaýyň arkasy (Alabaý krug), Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
21,Futbol meýdançasy (16-njy tapgyr) — 5312,https://yakyn.biz/b/futbol-meydancasy-16-njy-tapgyr-5312,Futbol meýdançasy we toparlary,"Magtymguly şaýoly (Swaboda), 16-njy tapgyr, ""Täze aý"" jaýyň arkasy, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
22,Futbol meýdançasy (16-njy tapgyr) — 5313,https://yakyn.biz/b/futbol-meydancasy-16-njy-tapgyr-5313,Futbol meýdançasy we toparlary,"Magtymguly şaýoly (Swaboda), 16-njy tapgyr, ""Owadan haly"" jaýyň arkasy, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
23,Futbol meýdançasy (Arçabil şaýoly) — 5314,https://yakyn.biz/b/futbol-meydancasy-arcabil-sayoly-5314,Futbol meýdançasy we toparlary,"Arçabil şaýoly, 42-nji jaýyň gapdaly, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
24,Futbol meýdançasy (Arçabil şaýoly) — 5315,https://yakyn.biz/b/futbol-meydancasy-arcabil-sayoly-5315,Futbol meýdançasy we toparlary,"Arçabil şaýoly, 40-njy jaýyň gapdaly, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
25,Futbol meýdançasy (Gurtly) — 5317,https://yakyn.biz/b/futbol-meydancasy-gurtly-5317,Futbol meýdançasy we toparlary,"Gurtly ýaşaýyş toplumy, Sanly bilim merkeziniň golaýy, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
26,Futbol meýdançasy (Gurtly) — 5318,https://yakyn.biz/b/futbol-meydancasy-gurtly-5318,Futbol meýdançasy we toparlary,"Gurtly ýaşaýyş toplumy, Batly bazaryň arkasy, Aşgabat",Sport meýdança.,—,—,—,,,360° virtual tour
27,Top - futbol kluby,https://yakyn.biz/b/top-futbol-kluby-5375,Futbol meýdançasy we toparlary,"Garaşsyzlyk şaýoly (Sowetskiý/Arçabil), Altyn suw myhmanhanasynyň arka tarapy, Aşgabat","6-13 ýaşly çagalar üçin türgenleşikler.",+99364 561611,—,"Töwereginde kafe we dükan",Instagram: fctop23; TikTok: fctop23,,
